title	doi	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
Feasibility of whole-body gait kinematics to assess the validity of the six-minute walk test over a 10-m walkway in the elderly	10.1016/j.bspc.2018.02.002	http://dx.doi.org/10.1016/j.bspc.2018.02.002	1746-8094	Biomedical Signal Processing and Control	Nathália Alves Oliveira Saraiva			2018	1644834876	0	0	0	0	4	0	2	0	2	0	23	1	FALSE	Nathália Alves Oliveira Saraiva, Fernando Silva Guimarães, Agnaldo José Lopes, Jannis Papathanasiou, Arthur Sá Ferreira	1746-8094	2	8.2	1.071	A1
Frog meat microbiota (Lithobates catesbeianus) used in infant food	10.1590/s0101-20612014005000004	http://dx.doi.org/10.1590/s0101-20612014005000004	1678-457X	Ciência e Tecnologia de Alimentos	Eliane Rodrigues			2014	1395750655	0	0	0	0	5	0	5	0	5	0	31	3	TRUE	Eliane Rodrigues, José Teixeira de Seixas Filho, Silvia Conceição Reis Pereira Mello, Airton Antonio Castagna, Marcos Aurélio de Sousa, Ulisses Pereira Silva	1678-457X	2	NA	0.435	B1
Home-based exercise program in TSP/HAM individuals: a feasibility and effectiveness study	10.1590/0004-282x20170022	http://dx.doi.org/10.1590/0004-282x20170022	0004-282X	Arquivos de Neuro-Psiquiatria	Lívia D Facchinetti			2017	1646599517	0	0	0	0	3	0	3	0	3	0	73	2	TRUE	Lívia D Facchinetti, Abelardo Q Araújo, Marcus TT Silva, Ana Claudia C Leite, Mariana F Azevedo, Gisele L Chequer, Raquel VC Oliveira, Arthur S Ferreira, Marco Antonio Lima	0004-282X	3	2.1	0.391	B2
Locating the Seventh Cervical Spinous Process: Accuracy of the Thorax-Rib Static Method and the Effects of Clinical Data on Its Performance	10.1016/j.jmpt.2016.10.011	http://dx.doi.org/10.1016/j.jmpt.2016.10.011	0161-4754	Journal of Manipulative & Physiological Therapeutics	Ana Paula A. Ferreira			2017	1645661909	1	0	0	0	3	0	2	0	3	0	27	2	FALSE	Ana Paula A. Ferreira, Luciana C. Póvoa, José F.C. Zanier, Arthur S. Ferreira	0161-4754	6	2.5	0.454	A2
Locating the Seventh Cervical Spinous Process: Development and Validation of a Multivariate Model Using Palpation and Personal Information	10.1016/j.jmpt.2016.10.012	http://dx.doi.org/10.1016/j.jmpt.2016.10.012	0161-4754	Journal of Manipulative & Physiological Therapeutics	Ana Paula A. Ferreira			2017	1645785227	0	0	0	0	1	0	1	0	1	0	20	1	FALSE	Ana Paula A. Ferreira, Luciana C. Póvoa, José F.C. Zanier, Arthur S. Ferreira	0161-4754	4	2.5	0.454	A2
Microwave assisted organic synthesis of benzophenothiazines: Photophysical and DFT calculations studies	10.1016/j.jlumin.2017.08.038	http://dx.doi.org/10.1016/j.jlumin.2017.08.038	0022-2313	Journal of Luminescence	Chiraz Belouezzane			2017	1574726400	0	0	0	0	1	0	0	0	1	1	14	3	FALSE	Chiraz Belouezzane, Angelo C. Pinto, Antônio L.S. Lima, Fabio S. Miranda	0022-2313	2	7.0	0.597	A2
Muscle function in women with systemic sclerosis: Association with fatigue and general physical function	10.1016/j.clinbiomech.2017.05.011	http://dx.doi.org/10.1016/j.clinbiomech.2017.05.011	0268-0033	Clinical Biomechanics	Amanda Cristina Justo			2017	1646562664	0	0	0	0	1	0	1	0	1	0	71	1	FALSE	Amanda Cristina Justo, Fernando Silva Guimarães, Arthur Sá Ferreira, Mauricio Santos Soares, Priscila Santos Bunn, Agnaldo José Lopes	0268-0033	13	3.7	0.541	A3
Nitrogen single-breath washout test for evaluating exercise tolerance and quality of life in patients with chronic obstructive pulmonary disease	10.1590/1414-431x20177059	http://dx.doi.org/10.1590/1414-431x20177059	1414-431X	Brazilian Journal of Medical and Biological Research	C.A.L. Deus			2018	1519682140	0	0	0	0	1	0	1	0	1	0	49	1	TRUE	C.A.L. Deus, P.S. Vigário, F.S. Guimarães, A.J. Lopes	1414-431X	4	4.5	0.528	A3
Pragmatic Combinations of Acupuncture Points for Lateral Epicondylalgia are Unreliable in the Physiotherapy Setting	10.1016/j.jams.2018.07.006	http://dx.doi.org/10.1016/j.jams.2018.07.006	2005-2901	Journal of Acupuncture and Meridian Studies	Danielle T. Alvim			2018	1673008712	0	0	0	0	5	0	3	0	3	0	59	2	TRUE	Danielle T. Alvim, Arthur S. Ferreira	2005-2901	2	1.8	0.235	A4
Reliability of two pragmatic tools for assessing text neck	10.1016/j.jbmt.2018.01.007	http://dx.doi.org/10.1016/j.jbmt.2018.01.007	1360-8592	Journal of Bodywork & Movement Therapies	Gerson Moreira Damasceno			2018	1644666506	2	0	0	0	19	0	13	0	15	0	89	9	FALSE	Gerson Moreira Damasceno, Arthur Sá Ferreira, Leandro Alberto Calazans Nogueira, Felipe José Jandre Reis, Rodrigo Wagner Lara, Ney Meziat-Filho	1360-8592	4	2.5	0.404	A2
Seated limits-of-stability of athletes with disabilities with regard to competitive levels and sport classification	10.1111/sms.12847	http://dx.doi.org/10.1111/sms.12847	0905-7188	Scandinavian Journal of Medicine & Science in Sports	P. B. R. Santos			2017	1645874510	0	0	0	0	1	0	1	0	1	0	67	1	FALSE	P. B. R. Santos, P. S. Vigário, M. R. M. Mainenti, A. S. Ferreira, T. Lemos	0905-7188	8	7.8	1.331	A1
Selenium Treatment and Chagasic Cardiopathy (STCC): study protocol for a double-blind randomized controlled trial	10.1186/1745-6215-15-388	http://dx.doi.org/10.1186/1745-6215-15-388	1745-6215	Trials	Pedro Emmanuel Alvarenga Americano do Brasil			2014	1433119012	0	0	0	0	5	0	5	0	5	0	334	3	TRUE	Pedro Emmanuel Alvarenga Americano do Brasil, Andréa Pereira de Souza, Alejandro Marcel Hasslocher-Moreno, Sérgio Salles Xavier, Sonia Regina Lambert Passos, Maria de Fátima Ramos Moreira, Marília Santini de Oliveira, Gilberto Marcelo Sperandio da Silva, Roberto Magalhães Saraiva, Claudia Santos de Aguiar Cardoso, Andréa Silvestre de Sousa, Mauro Felippe Felix Mediano, Maria da Gloria Bonecini de Almeida, Otacílio da Cruz Moreira, Constança Britto, Tania Cremonini de Araújo-Jorge	1745-6215	18	3.6	0.814	B1
Sensitivity for palpating lumbopelvic soft- tissues and bony landmarks and its associated factors: A single-blinded diagnostic accuracy study	10.3233/bmr-150356	http://dx.doi.org/10.3233/bmr-150356	1878-6324	Journal of Back & Musculoskeletal Rehabilitation	A.P.A. Ferreira			2017	1646218163	0	0	0	0	1	0	1	0	1	0	18	1	FALSE	A.P.A. Ferreira, L.C. Póvoa, J.F.C. Zanier, D.C. Machado, A.S. Ferreira	1878-6324	4	NA	0.421	NA
Single-Nucleotide-Polymorphism-Panel Population-Genetics Approach Based on the 1000 Genomes Database and Elite Soccer Players	10.1123/ijspp.2018-0715	http://dx.doi.org/10.1123/ijspp.2018-0715	1555-0265	International Journal of Sports Physiology and Performance	Gustavo Monnerat			2019	1542458108	0	0	0	0	2	0	2	0	2	0	63	1	FALSE	Gustavo Monnerat, Alex S. Maior, Marcio Tannure, Lia K.F.C. Back, Caleb G.M. Santos	1555-0265	3	6.1	1.333	A1
Systemic sclerosis: Association between physical function, handgrip strength and pulmonary function	10.1016/j.jbmt.2017.03.018	http://dx.doi.org/10.1016/j.jbmt.2017.03.018	1360-8592	Journal of Bodywork & Movement Therapies	Agnaldo José Lopes			2017	1646303952	0	0	0	0	1	0	1	0	1	0	40	1	FALSE	Agnaldo José Lopes, Amanda Cristina Justo, Arthur Sá Ferreira, Fernando Silva Guimaraes	1360-8592	7	2.5	0.404	A2
TELHADO VERDE DE BAIXO INVESTIMENTO COMPOSTO POR PLANTAS MEDICINAIS E AROMÁTICAS	10.15202/1981996x.2015v9n2p48	http://dx.doi.org/10.15202/1981996x.2015v9n2p48	1981-996X	Semioses	Rodrigo Otavio Lopes de Souza			2016	1653264000	0	0	0	1	1	0	0	0	1	0	4	7	TRUE	Rodrigo Otavio Lopes de Souza, Maria Luzia Soares Sampaio Ferreira, Carlos Alexandre Bastos de Vasconcellos	1981-996X	1	NA	NA	B3
Text neck and neck pain in 18–21-year-old young adults	10.1007/s00586-017-5444-5	http://dx.doi.org/10.1007/s00586-017-5444-5	0940-6719	European Spine Journal	Gerson Moreira Damasceno			2018	1686240002	44	2	0	2	459	0	284	9	341	0	335	235	FALSE	Gerson Moreira Damasceno, Arthur Sá Ferreira, Leandro Alberto Calazans Nogueira, Felipe José Jandre Reis, Igor Caio Santana Andrade, Ney Meziat-Filho	0940-6719	40	4.7	0.942	A1
